# source: Portal de Datos Abiertos del Ayuntamiento de Valencia; datos derivados por V-PRO
# license: CC-BY-4.0
action_id,event_id,event_type,event_title,event_source,event_source_id,action_type,title,description,priority,profiles,template_id,url,poi_type,created_at
1,1,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240403901,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
3,2,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250000401,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
5,3,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250000402,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
7,4,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240225313,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
9,5,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250041501,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
11,6,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250041503,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
13,7,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250041502,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
15,8,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250094801,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
17,9,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250090101,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
19,10,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250108902,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
21,11,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250108903,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
23,12,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250159001,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
25,13,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250000407,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
27,14,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250167501,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
29,15,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250167502,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
31,16,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250185901,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
33,17,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250185902,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
35,18,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250000403,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
37,19,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250159101,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
39,20,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250159301,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
41,21,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250159302,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
43,22,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250229801,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
45,23,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250188301,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
47,24,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250610001,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
49,25,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250616101,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
51,26,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250637001,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
53,27,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250142101,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
55,28,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250637002,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
57,29,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250874301,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
59,30,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250891701,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
61,31,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240227702,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
63,32,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240227703,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
65,33,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240227704,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
67,34,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240227705,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
69,35,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:240227706,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
71,36,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250893901,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
